reference_id,date,time_of_day,time_of_day_recode,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_coastal_state_cow_code,latitude,longitude,location_precision,geolocation_source_imb,geolocation_source_imo,geolocation_source_asam,location_description,vessel_name,vessel_country,vessel_country_cow_code,vessel_status,violence_dummy,steaming_recode,incident_type_recode,incident_action_recode
"5030","11/15/2010","8:05","1",,"Fired Upon","Yemen","Yemen","679","14.05","49.1333","1","1",".",".","Gulf of Aden","Valerie","Gibraltar","200","Steaming","1","1",,"3"
"5031","11/16/2010","6:37","1",,"Fired Upon","Kenya","Kenya","501","-4.0283","39.9583","1","1",".",".","(10 NM NE of Mombasa Pilot Station, Kenya), Off Somalia","African Eagle","Bahamas","31","Steaming","1","1",,"3"
"5033","11/16/2010","2:05","4",,"Boarded","Indonesia","Indonesia","850","1.0283","106.6667","1","1",".",".","W of Kepulauan Tambelan, Indonesia","Brazil Star","Liberia","450","Steaming","1","1","1","2"
"5035","11/16/2010","2:45","4",,"Fired Upon","Internationa Waters (Arabian Sea)","Maldives","781","5.15","66.7","1","1",".",".","(Around 350 NM West of Maldives Islands, Indian Ocean), Off Somalia","Samurai","Liberia","450","Steaming","1","1",,"3"
"5034","11/16/2010","4:35","4",,"Boarded","Indonesia","Indonesia","850","2","108.7583","1","1",".",".","Off Pulau Merundung, Indonesia","Nautica Kluang","Malaysia","820","Steaming","1","1","1","2"
"5032","11/16/2010","3:15","4",,"Boarded","Indonesia","Indonesia","850","-7.1417","112.6583","1","1",".",".","Berth No. 5, Gresik Port, Indonesia","Valente Angel","Panama","95","Berthed","1","3","1","2"
"5036","11/17/2010","20:15","3",,,"Venezuela","Venezuela","101","10.29","-64.7183","1","1",".",".","Puerto La Cruz, Venezuela","Zim Santos","Liberia","450","Stationary","1","4",,"-99"
"5038","11/18/2010","19:54","3",,"Fired Upon","Internationa Waters (Indian Ocean)","Seychelles","591","-1.3","52.7833","1","1",".",".","(Indian Ocean), Around 430 NM SE of Mogadishu, Off Somalia","Northern Valour","Antigua & Barbuda","58","Steaming","1","1",,"3"
"5037","11/18/2010","12:50","2",,"Fired Upon","Internationa Waters (Arabian Sea)","India","750","12.4167","66.55","1","1",".",".","(Indian Ocean), Off Somalia","Le Cong","China","710","Steaming","1","1",,"3"
"5041","11/20/2010","8:24","1",,"Boarded","Oman","Oman","698","20.5","60.0167","1","1",".",".","Off Oman, off Somalia","Tai An Kou","China","710","Steaming","1","1","1","2"
"5040","11/20/2010","10:15","1",,"Fired Upon","Internationa Waters (Arabian Sea)","India","750","13.0833","67.57","1","1",".",".","(Indian Ocean), Off Somalia","Vega Libra","Liberia","450","Steaming","1","1",,"3"
